Date,hour,is_holiday,maintenance_going_on,light_sensor,motion_sensor,door_lock_sensor,temperature_sensor,room
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,1,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,1,28.5,1
21/05/2025,3,0,0,1,0,1,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,1,28.5,1
21/05/2025,3,0,0,1,1,1,28.5,1
21/05/2025,3,0,0,1,1,1,28.5,1
21/05/2025,3,0,0,1,1,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,1,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,1,0,28.5,1
21/05/2025,3,0,0,1,1,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,1,28.5,1
21/05/2025,3,0,0,1,1,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,1,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,1,1,1,28.5,1
21/05/2025,3,0,0,1,1,1,28.4,1
21/05/2025,3,0,0,1,1,1,28.4,1
21/05/2025,3,0,0,0,0,0,28.5,1
21/05/2025,3,0,0,1,0,0,28.5,1
21/05/2025,3,0,0,0,0,0,28.5,1
21/05/2025,3,0,0,0,0,0,28.5,1
21/05/2025,3,0,0,0,0,0,28.5,1
21/05/2025,3,0,0,0,0,0,28.5,1
21/05/2025,3,0,0,0,0,0,28.5,1
21/05/2025,3,0,0,0,0,0,28.5,1
21/05/2025,3,0,0,0,0,0,28.4,1
21/05/2025,3,0,0,0,0,1,28.4,1
21/05/2025,3,0,0,0,0,1,28.4,1
21/05/2025,3,0,0,0,0,0,28.4,1
21/05/2025,3,0,0,0,0,0,28.4,1
21/05/2025,3,0,0,0,0,0,28.4,1
21/05/2025,3,0,0,0,1,0,28.4,1
21/05/2025,3,0,0,0,0,0,28.4,1
21/05/2025,3,0,0,0,1,0,28.4,1
21/05/2025,3,0,0,0,1,0,28.4,1
21/05/2025,3,0,0,0,1,0,28.4,1
21/05/2025,3,0,0,0,0,0,28.4,1
21/05/2025,3,0,0,0,0,0,28.4,1
21/05/2025,3,0,0,0,0,0,28.4,1
21/05/2025,3,0,0,0,0,0,28.4,1
21/05/2025,3,0,0,0,0,0,28.4,1
21/05/2025,3,0,0,0,0,0,28.4,1
21/05/2025,3,0,0,0,0,0,28.4,1
21/05/2025,3,0,0,0,0,0,28.4,1
21/05/2025,3,0,0,0,0,0,28.4,1
21/05/2025,3,0,0,0,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,1,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,0,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,0,1,0,28.4,1
21/05/2025,3,0,0,1,1,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,1,28.4,1
21/05/2025,3,0,0,1,0,1,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,1,28.3,1
21/05/2025,3,0,0,1,0,0,28.3,1
21/05/2025,3,0,0,1,0,1,28.4,1
21/05/2025,3,0,0,1,0,1,28.4,1
21/05/2025,3,0,0,1,0,0,28.3,1
21/05/2025,3,0,0,1,0,1,28.3,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,1,0,0,28.4,1
21/05/2025,3,0,0,0,0,0,28.4,1
21/05/2025,3,0,0,0,0,0,28.4,1
21/05/2025,3,0,0,0,0,0,28.4,1
21/05/2025,3,0,0,0,0,0,28.4,1
21/05/2025,3,0,0,0,0,0,28.4,1
